pic	age_group	mean_val_us	mean_aro_us	mean_val_ch	mean_aro_ch
airplane3_bw.png	58+	5.86206896551724	5.2	5	3
ambulance_bw.png	18-27	4.8	3.72222222222222	5.4	4.54166666666667
ambulance_bw.png	28-37	4.64705882352941	3.23529411764706	4.94	4.67241379310345
ambulance_bw.png	38-47	4.71428571428571	3.95833333333333	4.9	4.09523809523809
ambulance_bw.png	48-57	5.06666666666667	3.08333333333333	5.66666666666667	4
ambulance_bw.png	58+	5.21428571428571	3.77777777777778	5	5
amusementpark_bw.png	18-27	4.95454545454545	5.76470588235294	5.82608695652174	5.28571428571429
amusementpark_bw.png	28-37	5.6	5.14285714285714	5.87272727272727	5.734375
amusementpark_bw.png	38-47	5.06666666666667	4.6875	5	5.54166666666667
amusementpark_bw.png	48-57	4.46153846153846	5.33333333333333	4.5	5
amusementpark_bw.png	58+	5.06060606060606	5.11111111111111	3	4.66666666666667
analyse_bw.png	18-27	6.07142857142857	4.09523809523809	5.625	5.24
analyse_bw.png	28-37	5.73684210526316	3.8695652173913	5.82978723404255	5.30434782608696
analyse_bw.png	38-47	5.9375	4.22222222222222	6.03333333333333	5.8
analyse_bw.png	48-57	6.42857142857143	3.375	5.4375	5.4375
analyse_bw.png	58+	6.86206896551724	3.96153846153846	6	5.66666666666667
anger_bw.png	18-27	2.1	7.2	2.70833333333333	6.0625
anger_bw.png	28-37	1.91666666666667	6.82608695652174	2.57142857142857	4.86666666666667
anger_bw.png	38-47	1.65217391304348	6.33333333333333	2.63157894736842	4.80952380952381
anger_bw.png	48-57	1.91304347826087	7.42105263157895	3.71428571428571	3.22222222222222
anger_bw.png	58+	1.72413793103448	6.68	3	7
ant_bw.png	18-27	3.6	4.77777777777778	3.15	4.875
ant_bw.png	28-37	4.47058823529412	5.29411764705882	4	4.44827586206897
ant_bw.png	38-47	3.14285714285714	4.91666666666667	3.7	4.57142857142857
ant_bw.png	48-57	3.4	4.25	3.66666666666667	3.71428571428571
ant_bw.png	58+	3.92857142857143	4.07407407407407	5	6
ant2_bw.png	18-27	4	3.41176470588235	4.08695652173913	4
ant2_bw.png	28-37	4	4.35714285714286	4.23636363636364	4.52307692307692
ant2_bw.png	38-47	3.93333333333333	4.3125	3.93333333333333	4.20833333333333
ant2_bw.png	48-57	3.57142857142857	5	3.83333333333333	4.33333333333333
ant2_bw.png	58+	3.72727272727273	4.28571428571429	2	4
argument_bw.png	18-27	3.92857142857143	5.61904761904762	3.9375	4.76
argument_bw.png	28-37	3.42105263157895	5.65217391304348	4.63829787234043	4.69565217391304
argument_bw.png	38-47	3.375	5.66666666666667	3.96666666666667	4.24
argument_bw.png	48-57	3	5.6875	4.75	4.6
argument_bw.png	58+	3.44827586206897	5.76923076923077	3.33333333333333	6
argument2_bw.png	18-27	2.5	5.8	3.08695652173913	4.90625
argument2_bw.png	28-37	2.83333333333333	5.78260869565217	3.02040816326531	4.59090909090909
argument2_bw.png	38-47	2.39130434782609	6.26666666666667	3.15789473684211	4.57142857142857
argument2_bw.png	48-57	2.47826086956522	6.57894736842105	3.57142857142857	4.33333333333333
argument2_bw.png	58+	2.58620689655172	5.64	3	5
argument3_bw.png	18-27	2.85	6.44444444444444	2.55	4.70833333333333
argument3_bw.png	28-37	2.58823529411765	6.41176470588235	3.21153846153846	4.93220338983051
argument3_bw.png	38-47	2.78571428571429	6.29166666666667	3.85	4.95
argument3_bw.png	48-57	2.86666666666667	6.58333333333333	3.33333333333333	4.42857142857143
argument3_bw.png	58+	2.85714285714286	5.7037037037037	4	5
argument4_bw.png	18-27	2.77272727272727	5.76470588235294	3.45833333333333	5.57142857142857
argument4_bw.png	28-37	3	5.85714285714286	3.63636363636364	4.63076923076923
argument4_bw.png	38-47	3.26666666666667	5.6875	3.26666666666667	4.375
argument4_bw.png	48-57	2.28571428571429	6.71428571428571	3.33333333333333	5.5
argument4_bw.png	58+	2.48484848484848	5.78571428571429	2	5
argument5_bw.png	18-27	4.42857142857143	4.42857142857143	4.5	5.2
argument5_bw.png	28-37	3.89473684210526	4.78260869565217	4.95744680851064	5.08695652173913
argument5_bw.png	38-47	3.625	5.11111111111111	4.6	4.72
argument5_bw.png	48-57	4.28571428571429	4.75	4.6875	4.625
argument5_bw.png	58+	4.31034482758621	5.03846153846154	4.66666666666667	6.66666666666667
argument6_bw.png	18-27	3	5.4	3.5	4.75
argument6_bw.png	28-37	3.20833333333333	5.65217391304348	3.73469387755102	4.97727272727273
argument6_bw.png	38-47	2.82608695652174	5.46666666666667	3.84210526315789	5.19047619047619
argument6_bw.png	48-57	3.30434782608696	5.94736842105263	4.14285714285714	4.6
argument6_bw.png	58+	3.13793103448276	5.4	3	6
argument7_bw.png	18-27	2.85	6	4	4.70833333333333
argument7_bw.png	28-37	4.05882352941176	5.64705882352941	5.07843137254902	5.18965517241379
argument7_bw.png	38-47	4.28571428571429	6.04166666666667	5.15	5.64705882352941
argument7_bw.png	48-57	4.13333333333333	5.25	6.33333333333333	4.42857142857143
argument7_bw.png	58+	4.10714285714286	5.92592592592593	4	5
armchair_bw.png	18-27	5.18181818181818	2.64705882352941	5.13636363636364	3.42857142857143
armchair_bw.png	28-37	5.3	2.14285714285714	5.52830188679245	4.4
armchair_bw.png	38-47	5.66666666666667	2.75	5.2	5.125
armchair_bw.png	48-57	6.21428571428571	2.52380952380952	4.83333333333333	4.5
armchair_bw.png	58+	5.42424242424242	2.46428571428571	8	5.66666666666667
army_bw.png	18-27	4.28571428571429	5.61904761904762	5.9375	5.04
army_bw.png	28-37	4.21052631578947	6.08695652173913	5.48936170212766	5.78260869565217
army_bw.png	38-47	3.5	4.375	5.74193548387097	5.66666666666667
army_bw.png	48-57	4.42857142857143	6	5.06666666666667	5.625
