id	gender	age	outcome	multiple_single	study	acc_rate_irrelevant	acc_rate_probe	acc_rate_target	overall_acc_irrelevant	overall_acc_probe	overall_acc_target	rt_mean_irrelevant	rt_mean_probe	rt_mean_target	overall_acc_allmain	dataset	rt_mean_diff	acc_rate_diff	acc_rate_itarget	acc_rate_nontarget	overall_acc_itarget	overall_acc_nontarget	rt_mean_itarget	rt_mean_nontarget	rt_mean_ti_diff	acc_rate_ti_diff
id48	1	19	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	0.96875	0.8125	0.984375	0.96875	0.8125	436.642857148342	458.193548384213	499.115384618143	0.98125	12	21.550691235871	-0.015625	NA	NA	NA	NA	NA	NA	62.4725274698011	-0.171875
id49	1	21	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9921875	0.9375	0.71875	0.9921875	0.9375	0.71875	421.905511810983	407.566666666877	588.78260869555	0.98125	12	-14.3388451441054	-0.0546875	NA	NA	NA	NA	NA	NA	166.877096884568	-0.2734375
id50	2	20	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	0.967741935483871	0.78125	0.9765625	0.9375	0.78125	391.007488000032	384.399433333299	451.803680000085	0.96875	12	-6.60805466673384	-0.016510033020066	NA	NA	NA	NA	NA	NA	60.7961920000527	-0.203001968503937
id52	2	18	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.992063492063492	0.9375	0.741935483870968	0.9765625	0.9375	0.71875	395.616000000053	427.566666666762	465.869565217158	0.96875	12	31.9506666667091	-0.0545634920634921	NA	NA	NA	NA	NA	NA	70.2535652171053	-0.250128008192524
id53	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	1	1	0.875	0.9921875	1	0.875	426.789830151699	405.22312180331	490.379876213807	0.99375	12	-21.5667083483886	0	NA	NA	NA	NA	NA	NA	63.5900460621082	-0.125
id54	2	20	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96	0.90625	0.875	0.9375	0.90625	0.875	386.092224900702	365.338009684939	472.645550505019	0.93125	12	-20.7542152157627	-0.05375	NA	NA	NA	NA	NA	NA	86.553325604317	-0.085
id55	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	1	0.9375	0.984375	1	0.9375	483.182539682447	469.562499999996	517.000000000251	0.9875	12	-13.6200396824515	0.015625	NA	NA	NA	NA	NA	NA	33.8174603178038	-0.046875
id56	2	20	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.968253968253968	1	0.625	0.953125	1	0.625	463.893442623005	463.375000000043	596.950000000197	0.9625	11	-0.518442622962311	0.0317460317460317	NA	NA	NA	NA	NA	NA	133.056557377192	-0.343253968253968
id57	2	22	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	1	0.935483870967742	0.9765625	0.96875	0.90625	373.608	361.838709677419	435.48275862069	0.975	12	-11.7692903225807	0.015748031496063	NA	NA	NA	NA	NA	NA	61.8747586206896	-0.0487680975361952
id59	1	23	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9765625	0.96875	0.8125	0.9765625	0.96875	0.8125	488.333167999999	503.002290322588	543.484346153808	0.975	12	14.669122322589	-0.0078125	NA	NA	NA	NA	NA	NA	55.1511781538089	-0.1640625
id60	2	18	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.959677419354839	0.967741935483871	0.59375	0.9296875	0.9375	0.59375	443.436974789916	488.4	569.315789473684	0.93125	11	44.963025210084	0.00806451612903225	NA	NA	NA	NA	NA	NA	125.878814683768	-0.365927419354839
id62	2	27	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.911290322580645	0.903225806451613	0.53125	0.8828125	0.875	0.53125	418.534439847172	388.309442762415	540.327438000395	0.88125	12	-30.2249970847565	-0.00806451612903225	NA	NA	NA	NA	NA	NA	121.792998153223	-0.380040322580645
id63	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.991803278688525	0.931034482758621	0.903225806451613	0.9453125	0.84375	0.875	415.322314047309	423.555555537826	517.535714270447	0.925	12	8.2332414905174	-0.0607687959299039	NA	NA	NA	NA	NA	NA	102.213400223139	-0.0885774722369117
id64	2	18	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	0.9375	0.75	0.984375	0.9375	0.75	506.600579364911	598.038299999704	628.814500002288	0.975	11	91.4377206347934	-0.046875	NA	NA	NA	NA	NA	NA	122.213920637377	-0.234375
id65	1	22	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96875	0.96875	0.8125	0.96875	0.96875	0.8125	517.435483870896	527.354838709792	584.153846153715	0.96875	11	9.9193548388962	0	NA	NA	NA	NA	NA	NA	66.7183622828184	-0.15625
id66	2	18	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96875	0.84375	0.875	0.96875	0.84375	0.875	564.725806451245	569.000000000448	682.96428571609	0.94375	11	4.27419354920369	-0.125	NA	NA	NA	NA	NA	NA	118.238479264845	-0.09375
id67	2	19	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.952380952380952	0.967741935483871	0.6875	0.9375	0.9375	0.6875	466.866666664525	454.000000003725	575.272727265573	0.9375	11	-12.8666666607994	0.0153609831029187	NA	NA	NA	NA	NA	NA	108.406060601048	-0.264880952380952
id68	2	18	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	0.96875	0.8	0.9765625	0.96875	0.75	467.85600000001	503.451612903224	598.833333333268	0.975	11	35.5956129032141	-0.015501968503937	NA	NA	NA	NA	NA	NA	130.977333333258	-0.184251968503937
id69	2	29	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984375	1	0.8125	0.984375	1	0.8125	491.959703145105	474.651380667633	581.849312603429	0.9875	11	-17.3083224774716	0.015625	NA	NA	NA	NA	NA	NA	89.8896094583244	-0.171875
id70	1	20	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.959677419354839	1	0.766666666666667	0.9296875	0.96875	0.71875	328.915966386555	333.548387096774	407.913043478261	0.9375	12	4.63242071021961	0.0403225806451613	NA	NA	NA	NA	NA	NA	78.9970770917063	-0.193010752688172
id71	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9921875	1	0.8125	0.9921875	1	0.8125	459.496062992126	469.84375	528.192307692308	0.99375	12	10.347687007874	0.0078125	NA	NA	NA	NA	NA	NA	68.6962447001818	-0.1796875
id72	2	21	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.8984375	1	0.71875	0.8984375	1	0.71875	477.452173913043	509.5625	584.565217391304	0.91875	11	32.1103260869565	0.1015625	NA	NA	NA	NA	NA	NA	107.113043478261	-0.1796875
id73	2	18	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96	0.966666666666667	0.806451612903226	0.9375	0.90625	0.78125	384.233333333329	421.241379310332	488.720000000001	0.93125	12	37.0080459770029	0.00666666666666671	NA	NA	NA	NA	NA	NA	104.486666666672	-0.153548387096774
id75	2	44	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9765625	1	0.96875	0.9765625	1	0.96875	548.325218233349	558.398046180992	588.069071649494	0.98125	12	10.0728279476421	0.0234375	NA	NA	NA	NA	NA	NA	39.7438534161442	-0.0078125
id76	2	18	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.94488188976378	0.96875	0.516129032258065	0.9375	0.96875	0.5	477.616666666667	452.451612903226	629.4375	0.94375	11	-25.1650537634409	0.0238681102362205	NA	NA	NA	NA	NA	NA	151.820833333333	-0.428752857505715
id77	2	19	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.966386554621849	1	0.862068965517241	0.8984375	0.9375	0.78125	382.008695653032	369.900000002235	458.679999997839	0.90625	12	-12.1086956507971	0.0336134453781513	NA	NA	NA	NA	NA	NA	76.6713043448072	-0.104317589104607
id79	2	19	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.952755905511811	0.935483870967742	0.709677419354839	0.9453125	0.90625	0.6875	403.112528927447	413.585655173439	495.567045454994	0.9375	12	10.4731262459922	-0.0172720345440691	NA	NA	NA	NA	NA	NA	92.454516527547	-0.243078486156972
id80	2	18	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	1	0.84375	0.9765625	1	0.84375	412.647999998182	431.031249987427	519.148148160807	0.98125	12	18.383249989245	0.015748031496063	NA	NA	NA	NA	NA	NA	106.500148162625	-0.140501968503937
id81	2	66	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9375	1	0.65625	0.9375	1	0.65625	564.858333333371	545.374999999994	695.42857142854	0.95	11	-19.4833333333767	0.0625	NA	NA	NA	NA	NA	NA	130.570238095169	-0.28125
id83	2	29	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.96875	1	0.59375	0.96875	1	0.59375	558.564516129032	558.4375	689.473684210526	0.975	11	-0.127016129032313	0.03125	NA	NA	NA	NA	NA	NA	130.909168081494	-0.375
id85	2	24	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9453125	0.90625	0.612903225806452	0.9453125	0.90625	0.59375	465.00924144262	500.843225516031	555.62214556699	0.9375	12	35.8339840734106	-0.0390625	NA	NA	NA	NA	NA	NA	90.6129041243694	-0.332409274193548
id88	2	65	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.944	0.84375	0.71875	0.921875	0.84375	0.71875	444.330225969388	465.915565421098	525.061855265147	0.90625	12	21.5853394517106	-0.10025	NA	NA	NA	NA	NA	NA	80.7316292957593	-0.22525
id89	2	18	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984251968503937	0.9375	0.78125	0.9765625	0.9375	0.78125	428.415999999736	474.400000000605	546.919999999227	0.96875	12	45.9840000008699	-0.046751968503937	NA	NA	NA	NA	NA	NA	118.503999999492	-0.203001968503937
id90	2	18	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.976377952755906	0.96875	0.5625	0.96875	0.96875	0.5625	445.395161290323	426.58064516129	643.166666666667	0.96875	11	-18.8145161290323	-0.00762795275590555	NA	NA	NA	NA	NA	NA	197.771505376344	-0.413877952755906
id91	2	18	1	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9921875	0.96875	0.96875	0.9921875	0.96875	0.96875	449.30708661403	469.451612903163	543.354838709768	0.9875	12	20.1445262891334	-0.0234375	NA	NA	NA	NA	NA	NA	94.0477520957375	-0.0234375
id92	2	24	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.984126984126984	1	0.875	0.96875	1	0.875	404.54032258018	416.656249997686	472.678571434309	0.975	12	12.1159274175067	0.0158730158730159	NA	NA	NA	NA	NA	NA	68.1382488541295	-0.109126984126984
id93	2	33	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.959349593495935	1	0.766666666666667	0.921875	0.96875	0.71875	428.991525421132	460.806451612077	543.695652174115	0.93125	12	31.8149261909448	0.040650406504065	NA	NA	NA	NA	NA	NA	114.704126752983	-0.192682926829268
id94	2	23	1	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.991935483870968	0.967741935483871	0.766666666666667	0.9609375	0.9375	0.71875	374.268292683044	480.099999999826	550.304347826371	0.95625	11	105.831707316782	-0.0241935483870968	NA	NA	NA	NA	NA	NA	176.036055143327	-0.225268817204301
id95	1	45	0	1	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.8828125	0.96875	0.90625	0.8828125	0.96875	0.90625	588.611216659532	612.261103609507	662.129067439686	0.9	11	23.649886949975	0.0859375	NA	NA	NA	NA	NA	NA	73.517850780154	0.0234375
id96	2	46	0	0	Verschuere, Kleinberg, & Theocharidou (2015) Exp2	0.9921875	1	0.71875	0.9921875	1	0.71875	454.188976377983	470.968750000013	613.043478260907	0.99375	12	16.7797736220305	0.0078125	NA	NA	NA	NA	NA	NA	158.854501882924	-0.2734375
